date,time_control,color,opponent,opponent_rating,my_rating,result,opening,moves_count,termination
1734302460,blitz,black,player4947,1329,1228,loss,Caro-Kann Defense,49,resign
1734468420,bullet,black,player3215,1248,1130,win,Dutch Defense,37,resign
1734469200,blitz,white,player6077,1281,1221,loss,Queen's Gambit,37,mate
1734469680,blitz,black,player2795,1125,1214,loss,Caro-Kann Defense,31,outoftime
1734470160,bullet,black,player3796,1195,1125,loss,Dutch Defense,52,mate
1734658440,blitz,black,player1875,1274,1222,win,Pirc Defense,20,outoftime
1734659280,blitz,white,player5051,1272,1227,win,King's Gambit,33,resign
1734659520,bullet,black,player8950,1017,1135,win,King's Indian Defense,32,resign
1734660120,rapid,white,player636,1238,1319,loss,Vienna Game,34,outoftime
1734660780,bullet,black,player4620,1115,1136,draw,Sicilian Defense,28,draw
1735066860,blitz,black,player9707,1297,1222,loss,Caro-Kann Defense,44,resign
1735067400,rapid,white,player522,1248,1311,loss,Scotch Game,65,mate
1735136400,blitz,black,player7902,1280,1220,draw,Sicilian Defense,25,draw
1735137180,blitz,white,player610,1308,1211,loss,Italian Game,42,resign
1735137420,bullet,black,player2530,1049,1145,win,King's Indian Defense,48,mate
1735138260,rapid,black,player1974,1330,1320,win,King's Indian Defense,42,mate
1735139280,rapid,white,player1657,1426,1327,win,Vienna Game,33,resign
1735250640,blitz,white,player9708,1113,1204,loss,Queen's Gambit,49,resign
1735251360,rapid,white,player4812,1426,1319,loss,Vienna Game,27,resign
1735420920,rapid,black,player9221,1279,1320,draw,Sicilian Defense,30,draw
1735421160,rapid,black,player3072,1259,1313,loss,Sicilian Defense,50,resign
1735421760,blitz,white,player5205,1227,1212,win,Queen's Gambit,24,mate
1735502160,blitz,white,player4575,1118,1220,win,Italian Game,41,resign
1735502700,blitz,black,player6575,1257,1221,draw,Pirc Defense,54,draw
1735503480,blitz,white,player8249,1170,1215,loss,Scotch Game,37,mate
1735504080,blitz,white,player1375,1183,1210,loss,King's Gambit,29,resign
1735505100,blitz,black,player5421,1268,1204,loss,Scandinavian Defense,54,mate
1735505760,rapid,black,player6584,1407,1321,win,Sicilian Defense,67,resign
1735506780,blitz,black,player3276,1278,1213,win,Caro-Kann Defense,48,resign
1735507680,bullet,white,player1334,1050,1151,win,London System,30,resign
1736353680,blitz,black,player7665,1290,1218,win,Pirc Defense,33,mate
1736354700,blitz,white,player3184,1245,1213,loss,Vienna Game,39,outoftime
1736355240,rapid,white,player2927,1226,1314,loss,Italian Game,59,mate
1736355900,blitz,white,player957,1323,1221,win,King's Gambit,43,resign
1736356860,rapid,black,player9974,1213,1323,win,Sicilian Defense,46,resign
1736357640,rapid,black,player1488,1385,1316,loss,French Defense,28,resign
1736358120,rapid,black,player8431,1356,1308,loss,Dutch Defense,29,resign
1736358480,bullet,black,player1757,1080,1158,win,Dutch Defense,48,resign
1736712480,rapid,white,player7270,1390,1299,loss,Ruy Lopez,50,mate
1736713380,blitz,black,player7784,1287,1214,loss,Scandinavian Defense,41,mate
1736714460,rapid,black,player8339,1340,1291,loss,Pirc Defense,8,resign
1736802180,rapid,black,player2726,1211,1282,loss,Scandinavian Defense,31,resign
1736802660,blitz,white,player6897,1314,1222,win,Vienna Game,53,outoftime
1736803080,blitz,white,player2492,1101,1227,win,King's Gambit,43,resign
1736803440,blitz,black,player1398,1153,1219,loss,Pirc Defense,47,mate
1737129780,blitz,black,player9521,1301,1210,loss,Sicilian Defense,39,resign
1737130200,rapid,black,player1502,1304,1291,win,King's Indian Defense,24,resign
1737130920,blitz,white,player366,1222,1218,win,Vienna Game,36,resign
1737316140,rapid,black,player7712,1247,1290,draw,Caro-Kann Defense,53,draw
1737316500,rapid,white,player5180,1231,1296,win,English Opening,36,resign
1737317220,blitz,black,player5538,1276,1211,loss,French Defense,34,resign
1737317820,bullet,black,player4469,1080,1166,win,King's Indian Defense,62,resign
1737318780,blitz,black,player1411,1243,1205,loss,Sicilian Defense,32,resign
1737475320,rapid,black,player6052,1244,1292,loss,Scandinavian Defense,48,resign
1737476040,rapid,white,player6101,1378,1285,loss,Italian Game,15,mate
1737476280,rapid,black,player5250,1274,1277,loss,French Defense,64,resign
1737477120,blitz,white,player4364,1140,1213,win,Italian Game,35,mate
1737569220,blitz,white,player5336,1313,1208,loss,English Opening,28,outoftime
1737570060,blitz,white,player2088,1177,1202,loss,Scotch Game,62,resign
1737570480,rapid,white,player1177,1305,1287,win,King's Gambit,35,outoftime
1737570960,blitz,black,player5294,1276,1205,draw,Scandinavian Defense,28,draw
1737571800,blitz,white,player5082,1127,1210,win,Ruy Lopez,26,resign
1737572160,blitz,white,player9124,1345,1203,loss,King's Gambit,34,resign
1737808920,rapid,black,player9549,1325,1293,win,Dutch Defense,57,outoftime
1737809400,rapid,black,player8012,1185,1303,win,Scandinavian Defense,38,outoftime
1737810000,blitz,white,player5221,1185,1212,win,Italian Game,63,resign
1737811020,rapid,black,player2107,1366,1313,win,King's Indian Defense,36,mate
1737811320,blitz,black,player5223,1203,1218,win,Dutch Defense,48,outoftime
1737811740,rapid,black,player8381,1319,1306,loss,Scandinavian Defense,27,outoftime
1737812520,blitz,white,player1861,1250,1211,loss,Scotch Game,40,mate
1737813120,blitz,black,player9443,1282,1209,draw,Pirc Defense,25,draw
1737922620,rapid,white,player2463,1274,1313,win,Ruy Lopez,32,resign
1737923040,rapid,black,player2540,1190,1320,win,Scandinavian Defense,24,resign
1737923580,bullet,black,player8451,1200,1159,loss,Caro-Kann Defense,27,resign
1737924300,blitz,black,player536,1104,1214,win,King's Indian Defense,28,resign
1738439580,blitz,white,player6865,1276,1219,win,Italian Game,31,resign
1738440480,blitz,black,player7937,1299,1213,loss,Dutch Defense,26,resign
1738440840,blitz,black,player4138,1262,1206,loss,Scandinavian Defense,36,mate
1738441320,rapid,white,player4580,1282,1312,loss,Scotch Game,33,resign
1738532940,rapid,black,player3605,1368,1320,win,Sicilian Defense,55,resign
1738533360,rapid,black,player931,1276,1329,win,Scandinavian Defense,29,mate
1738534200,blitz,white,player9116,1264,1206,draw,Vienna Game,22,draw
1738535280,blitz,black,player1565,1142,1199,loss,King's Indian Defense,32,resign
1738536180,rapid,white,player8216,1432,1324,loss,Ruy Lopez,29,resign
1738536540,bullet,black,player5589,1100,1157,draw,Sicilian Defense,28,draw
1738537260,blitz,white,player4315,1121,1193,loss,English Opening,79,resign
1738538160,blitz,black,player6743,1212,1188,loss,Dutch Defense,45,outoftime
1738625400,blitz,white,player9486,1159,1195,win,Italian Game,23,resign
1738680120,blitz,black,player4933,1247,1188,loss,Caro-Kann Defense,31,resign
1738680480,blitz,black,player3678,1167,1197,win,Pirc Defense,45,resign
1738681440,blitz,white,player8381,1258,1207,win,English Opening,43,outoftime
1738753980,rapid,black,player7584,1347,1329,win,Sicilian Defense,54,resign
1738754760,blitz,black,player3670,1175,1200,loss,Pirc Defense,34,mate
1738755300,rapid,white,player6987,1343,1338,win,Queen's Gambit,35,mate
1738755840,bullet,black,player8935,1283,1150,loss,King's Indian Defense,56,outoftime
1738871160,bullet,white,player3862,1142,1141,loss,Italian Game,58,resign
1738871580,blitz,white,player356,1310,1196,loss,Scotch Game,38,resign
1738872360,blitz,white,player1024,1095,1202,win,London System,43,resign
1738872720,blitz,black,player5353,1327,1195,loss,Caro-Kann Defense,40,resign
1739043420,bullet,white,player8692,1149,1148,win,Vienna Game,66,resign
1739043960,rapid,black,player5027,1308,1347,win,Caro-Kann Defense,42,outoftime
1739454060,blitz,black,player9978,1094,1202,win,Dutch Defense,31,resign
1739454300,bullet,white,player3570,1081,1141,loss,London System,71,outoftime
1739981880,blitz,black,player7792,1167,1203,draw,French Defense,24,draw
1739982840,rapid,white,player9165,1327,1353,win,King's Gambit,54,mate
1740062160,rapid,black,player8137,1413,1361,win,Scandinavian Defense,30,resign
1740062820,blitz,black,player1062,1256,1197,loss,Caro-Kann Defense,11,resign
1740408300,blitz,white,player357,1088,1206,win,English Opening,33,resign
1740408540,blitz,black,player7154,1206,1197,loss,Sicilian Defense,48,mate
1740408840,bullet,white,player6212,1170,1135,loss,London System,9,resign
1740409440,blitz,white,player619,1246,1192,loss,London System,49,outoftime
1740410160,blitz,white,player1662,1186,1185,loss,Ruy Lopez,45,outoftime
1740411240,blitz,white,player1318,1286,1176,loss,London System,33,mate
1740586380,rapid,black,player8956,1276,1370,win,Sicilian Defense,27,resign
1740586920,blitz,white,player1345,1247,1172,loss,Queen's Gambit,25,mate
1740587700,blitz,black,player6250,1126,1164,loss,Sicilian Defense,58,resign
1740588300,blitz,black,player2626,1211,1170,win,Sicilian Defense,20,mate
1740588660,rapid,black,player1774,1261,1377,win,French Defense,54,resign
1740589020,blitz,black,player1624,1194,1166,loss,King's Indian Defense,17,resign
1740675900,rapid,white,player1136,1360,1384,win,Ruy Lopez,23,resign
1740676260,blitz,black,player8223,1246,1173,win,French Defense,30,resign
1740676560,blitz,white,player9838,1263,1166,loss,Vienna Game,32,resign
1740774600,blitz,black,player5439,1228,1158,loss,French Defense,19,resign
1740775200,blitz,white,player4873,1240,1150,loss,Ruy Lopez,56,mate
1740776220,rapid,black,player2625,1299,1384,draw,Pirc Defense,32,draw
1740776520,blitz,black,player5990,1163,1151,draw,Scandinavian Defense,13,draw
1741119720,blitz,white,player3737,1238,1160,win,Vienna Game,21,mate
1741120500,rapid,white,player502,1360,1393,win,English Opening,36,mate
1741121160,blitz,black,player3489,1240,1154,loss,Sicilian Defense,25,resign
1741121460,blitz,black,player1891,1097,1160,win,French Defense,36,resign
1741122300,rapid,white,player6736,1315,1401,win,Ruy Lopez,31,mate
1741201920,blitz,black,player1125,1205,1167,win,King's Indian Defense,31,outoftime
1741267200,blitz,white,player9717,1273,1160,loss,Scotch Game,47,resign
1741267860,rapid,black,player3099,1305,1395,loss,Scandinavian Defense,46,resign
1741268400,rapid,black,player2938,1314,1404,win,King's Indian Defense,22,resign
1741268760,blitz,black,player3296,1247,1158,draw,Scandinavian Defense,32,draw
1741269780,blitz,black,player605,1169,1166,win,King's Indian Defense,40,mate
1741270020,blitz,black,player1971,1172,1158,loss,Caro-Kann Defense,28,mate
1741509960,blitz,white,player7468,1214,1153,loss,Vienna Game,35,outoftime
1741510260,blitz,white,player7115,1231,1146,loss,London System,65,resign
1741510620,rapid,white,player5402,1309,1414,win,London System,49,resign
1741511400,blitz,white,player2178,1233,1141,loss,Ruy Lopez,36,outoftime
1741512300,bullet,white,player4502,1104,1127,loss,Ruy Lopez,28,resign
1741795140,bullet,black,player5969,1150,1132,win,King's Indian Defense,28,resign
1741796160,blitz,black,player5633,1145,1134,loss,Caro-Kann Defense,30,outoftime
1741797180,blitz,black,player2688,1035,1143,win,Pirc Defense,35,outoftime
1741797840,blitz,black,player4589,1262,1151,win,Caro-Kann Defense,49,outoftime
1741868700,rapid,white,player9826,1322,1410,loss,Vienna Game,45,mate
1741869120,blitz,black,player2265,1194,1156,win,Sicilian Defense,28,resign
1741869420,rapid,white,player2281,1379,1404,loss,Queen's Gambit,39,outoftime
1741870260,bullet,white,player2580,1157,1138,win,Queen's Gambit,54,resign
1741870920,bullet,white,player2390,1199,1146,win,Queen's Gambit,28,resign
1741871340,blitz,white,player539,1191,1148,loss,London System,49,outoftime
1741958700,blitz,white,player297,1126,1156,win,London System,21,mate
1741959240,bullet,white,player7817,1252,1139,loss,Vienna Game,61,mate
1741959480,rapid,white,player8309,1285,1396,loss,Scotch Game,31,resign
1741960440,blitz,black,player8477,1178,1151,loss,Sicilian Defense,71,resign
1742161380,rapid,black,player7218,1460,1391,loss,Pirc Defense,19,mate
1742161680,blitz,white,player285,1226,1146,loss,Scotch Game,55,resign
1742162400,blitz,black,player580,1054,1139,loss,Caro-Kann Defense,67,mate
1742162940,rapid,black,player8468,1325,1382,loss,Scandinavian Defense,27,resign
1742245020,rapid,white,player6374,1400,1388,win,London System,50,resign
1742246100,blitz,white,player6208,1093,1147,win,Vienna Game,53,mate
1742340300,blitz,black,player6144,1219,1141,loss,Dutch Defense,52,resign
1742340720,blitz,black,player3301,1087,1150,win,Pirc Defense,36,outoftime
1742341680,blitz,white,player6264,1074,1155,win,Vienna Game,20,mate
1742342700,rapid,black,player2432,1394,1380,loss,Sicilian Defense,36,mate
1742343780,blitz,black,player6561,1143,1160,win,Pirc Defense,31,resign
1742555880,blitz,black,player1323,1216,1153,loss,Dutch Defense,45,resign
1742556840,rapid,white,player3501,1365,1389,win,Queen's Gambit,35,resign
1742557500,blitz,black,player760,1044,1160,win,Dutch Defense,44,resign
1742557860,blitz,white,player609,1168,1168,win,King's Gambit,64,outoftime
1742936820,blitz,white,player4340,1249,1166,draw,Ruy Lopez,42,draw
1742937120,blitz,black,player929,1058,1160,loss,Dutch Defense,35,outoftime
1743099840,rapid,white,player4126,1492,1396,win,King's Gambit,28,mate
1743100920,rapid,white,player4182,1367,1402,win,Queen's Gambit,24,resign
1743101760,bullet,white,player9367,1211,1148,win,Vienna Game,24,resign
1743102120,blitz,white,player5956,1260,1155,loss,Italian Game,37,resign
1743103080,rapid,white,player1016,1333,1395,loss,Ruy Lopez,40,resign
1743369060,blitz,black,player9400,1221,1165,win,Dutch Defense,8,resign
1743369840,blitz,white,player3684,1126,1171,win,English Opening,53,mate
1743370380,bullet,white,player2420,1206,1156,win,Ruy Lopez,39,mate
1743371340,blitz,black,player5385,1227,1163,loss,Sicilian Defense,43,resign
1743371940,rapid,black,player5946,1314,1386,loss,Pirc Defense,44,outoftime
1743606660,rapid,black,player3719,1420,1395,win,Dutch Defense,33,outoftime
1743607320,blitz,white,player5600,1120,1168,win,London System,32,resign
1743607980,blitz,white,player7279,1072,1173,win,London System,33,mate
1743609060,blitz,black,player3795,1151,1181,win,French Defense,8,resign
1743609420,blitz,white,player6251,1127,1187,win,Scotch Game,40,mate
1743806700,blitz,white,player9178,1070,1193,win,Vienna Game,42,resign
1743807600,bullet,black,player8143,1106,1161,win,Pirc Defense,45,resign
1743808200,blitz,black,player1992,1067,1200,win,Caro-Kann Defense,48,resign
1743808680,rapid,black,player6349,1457,1404,win,King's Indian Defense,27,resign
1743809160,blitz,black,player1684,1159,1199,draw,Caro-Kann Defense,49,draw
1743809460,rapid,black,player6958,1345,1405,draw,Dutch Defense,58,draw
1743810540,blitz,white,player9463,1093,1204,win,English Opening,33,outoftime
1743811380,bullet,white,player3257,1249,1160,draw,Queen's Gambit,48,draw
1743969180,rapid,black,player4625,1505,1413,win,Pirc Defense,48,resign
1743969900,blitz,white,player1741,1178,1213,win,Vienna Game,54,resign
1743970200,rapid,black,player4612,1384,1404,loss,King's Indian Defense,29,mate
1743970800,blitz,black,player4500,1317,1208,loss,Sicilian Defense,40,resign
1743971820,rapid,black,player5023,1420,1399,loss,French Defense,36,mate
1743972720,blitz,black,player6771,1202,1204,loss,French Defense,36,mate
1743973740,blitz,white,player9417,1150,1197,loss,Ruy Lopez,14,outoftime
1743973980,blitz,white,player7705,1077,1204,win,Italian Game,18,resign
1744138500,blitz,black,player2769,1288,1200,loss,French Defense,37,resign
1744139520,rapid,white,player245,1341,1392,loss,London System,30,resign
1744139880,rapid,white,player4611,1420,1385,loss,London System,39,resign
1744486740,blitz,white,player4731,1250,1193,loss,Italian Game,35,resign
1744487040,blitz,black,player4037,1288,1201,win,Pirc Defense,44,resign
1744488120,blitz,black,player4350,1250,1206,win,Pirc Defense,49,outoftime
1744571520,blitz,white,player9246,1340,1197,loss,English Opening,30,mate
1744571880,blitz,black,player5599,1151,1188,loss,Caro-Kann Defense,32,mate
1744572300,rapid,black,player7698,1502,1385,draw,King's Indian Defense,29,draw
1744573320,blitz,white,player4988,1295,1193,win,Queen's Gambit,13,resign
1744573680,blitz,white,player3054,1216,1186,loss,King's Gambit,52,outoftime
1744672800,rapid,white,player1542,1311,1379,loss,English Opening,48,mate
1744673400,blitz,black,player8800,1060,1193,win,King's Indian Defense,48,outoftime
1744673820,blitz,white,player9744,1242,1187,loss,London System,36,resign
1744749480,blitz,black,player6709,1143,1179,loss,Pirc Defense,42,mate
1744749720,blitz,white,player712,1072,1186,win,London System,23,resign
1744750680,blitz,white,player1997,1099,1185,draw,Italian Game,52,draw
1744818240,blitz,white,player2347,1232,1195,win,Scotch Game,11,resign
1744818960,rapid,white,player8671,1447,1385,win,Scotch Game,52,resign
1744893300,blitz,white,player8195,1130,1200,win,English Opening,41,outoftime
1744894020,blitz,white,player2962,1144,1208,win,Scotch Game,42,mate
1744895040,blitz,black,player851,1271,1214,win,French Defense,45,resign
1745001540,blitz,white,player6419,1192,1222,win,King's Gambit,38,resign
1745002440,bullet,black,player2711,1257,1166,win,Pirc Defense,62,mate
1745003100,rapid,black,player2240,1366,1377,loss,Caro-Kann Defense,56,resign
1745136960,rapid,white,player1660,1443,1368,loss,London System,17,resign
1745137620,blitz,black,player2671,1324,1214,loss,Caro-Kann Defense,47,resign
1745138340,rapid,black,player924,1257,1362,loss,Dutch Defense,20,outoftime
1745261460,rapid,white,player6709,1321,1370,win,English Opening,37,mate
1745262060,blitz,white,player7574,1258,1207,loss,Queen's Gambit,50,resign
1745523900,rapid,black,player4883,1432,1365,loss,Sicilian Defense,33,outoftime
1745524620,blitz,white,player3172,1142,1216,win,Italian Game,57,resign
1745525040,blitz,white,player7481,1277,1219,draw,King's Gambit,56,draw
1745525700,rapid,white,player8012,1365,1356,loss,English Opening,59,outoftime
1745526780,blitz,white,player6402,1186,1210,loss,Ruy Lopez,26,resign
1745882880,rapid,white,player5243,1419,1348,loss,Vienna Game,30,resign
1745883720,blitz,white,player3013,1184,1204,loss,Scotch Game,8,resign
1745884440,blitz,black,player6939,1266,1212,win,Pirc Defense,24,outoftime
1745885160,blitz,black,player3375,1210,1221,win,Dutch Defense,11,resign
1745885640,rapid,white,player8966,1298,1353,win,Scotch Game,63,resign
1745885940,rapid,white,player6351,1355,1346,loss,Vienna Game,43,mate
1745886540,blitz,black,player7359,1090,1215,loss,Scandinavian Defense,52,resign
1745887440,rapid,black,player4919,1368,1340,loss,Dutch Defense,10,outoftime
1746018660,rapid,white,player4278,1315,1348,win,Vienna Game,53,resign
1746019740,blitz,white,player9482,1112,1206,loss,King's Gambit,38,resign
1746020460,blitz,black,player6709,1125,1216,win,Scandinavian Defense,46,resign
1746020880,rapid,black,player244,1277,1339,loss,French Defense,43,outoftime
1746214740,blitz,white,player4733,1327,1211,loss,King's Gambit,54,resign
1746215700,blitz,black,player1672,1152,1205,loss,King's Indian Defense,40,mate
1746216060,bullet,white,player1802,1208,1160,loss,Queen's Gambit,45,resign
1746217140,bullet,black,player720,1291,1167,win,Pirc Defense,63,resign
1746217440,blitz,white,player7491,1105,1211,win,Scotch Game,27,resign
1746217680,blitz,white,player5960,1280,1203,loss,Italian Game,27,outoftime
1746386280,rapid,black,player6506,1426,1332,loss,King's Indian Defense,45,mate
1746386760,bullet,white,player9194,1280,1160,loss,Scotch Game,11,mate
1746387120,blitz,white,player5733,1225,1197,loss,Vienna Game,45,resign
1746388140,blitz,white,player9394,1226,1192,loss,Ruy Lopez,67,resign
1746488100,blitz,white,player5520,1095,1198,win,Scotch Game,24,resign
1746488520,blitz,white,player2596,1197,1207,win,London System,54,resign
1746489300,rapid,black,player4633,1203,1338,win,King's Indian Defense,42,resign
1746490200,blitz,black,player1443,1177,1199,loss,King's Indian Defense,31,mate
1746491220,blitz,white,player8409,1259,1194,loss,London System,20,outoftime
1746657300,blitz,black,player4867,1121,1200,win,Pirc Defense,19,resign
1746657660,blitz,white,player2817,1204,1206,win,Vienna Game,38,outoftime
1746658020,blitz,white,player3934,1192,1215,win,English Opening,30,resign
1746658260,rapid,black,player1791,1452,1334,loss,King's Indian Defense,33,resign
1746732960,blitz,black,player3751,1265,1210,loss,French Defense,21,resign
1746733680,blitz,black,player2813,1223,1205,loss,King's Indian Defense,40,mate
1746734160,blitz,white,player5510,1235,1200,loss,Ruy Lopez,54,resign
1746735060,blitz,black,player9496,1222,1209,win,King's Indian Defense,31,mate
1746735780,blitz,white,player9334,1145,1200,loss,Italian Game,33,resign
1746821880,bullet,white,player2438,1164,1155,loss,English Opening,45,resign
1746822240,rapid,black,player6296,1397,1342,win,Caro-Kann Defense,13,mate
1746822840,blitz,white,player3006,1301,1192,loss,London System,18,resign
1746823080,bullet,white,player7169,1203,1164,win,Queen's Gambit,40,mate
1746823800,blitz,white,player9539,1304,1184,loss,Vienna Game,44,outoftime
1747077360,blitz,white,player6035,1066,1190,win,Queen's Gambit,42,resign
1747077660,blitz,black,player6611,1219,1197,win,French Defense,38,outoftime
1747078620,rapid,white,player6622,1366,1342,draw,King's Gambit,23,draw
1747079520,blitz,white,player5644,1276,1192,loss,London System,44,resign
1747181100,rapid,black,player6396,1242,1348,win,Scandinavian Defense,19,resign
1747182180,bullet,black,player3404,1211,1170,win,Pirc Defense,57,resign
1747182900,blitz,white,player2679,1119,1186,loss,London System,11,mate
1747183200,bullet,black,player1224,1157,1176,win,French Defense,53,resign
1747184100,rapid,black,player6718,1451,1357,win,French Defense,29,resign
1747184880,blitz,white,player8509,1094,1196,win,Vienna Game,65,outoftime
1747185900,rapid,black,player7617,1332,1351,loss,Pirc Defense,30,outoftime
1747186740,blitz,white,player5272,1130,1202,win,English Opening,26,mate
1747317900,blitz,black,player4508,1322,1209,win,Sicilian Defense,44,outoftime
1747318260,bullet,white,player3422,1115,1182,win,English Opening,51,mate
1747318800,blitz,white,player8971,1123,1210,draw,Queen's Gambit,15,draw
1747319040,rapid,black,player8474,1352,1342,loss,Scandinavian Defense,36,resign
1747319820,blitz,black,player2963,1243,1217,win,King's Indian Defense,47,resign
1747768800,blitz,black,player3113,1166,1225,win,Caro-Kann Defense,28,resign
1747769700,rapid,black,player3844,1290,1352,win,Dutch Defense,38,resign
1747837620,bullet,white,player8570,1261,1188,win,Ruy Lopez,26,resign
1747838280,blitz,white,player1677,1269,1231,win,Vienna Game,35,resign
